Se ha utilizado el Knn con una K de: 3Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A	 100.0	 95.0	 87.5	 92.5	 100.0	 95.0
  B	 82.5	 82.5	 70.0	 82.5	 82.5	 80.0
  C	 100.0	 97.5	 97.5	 100.0	 97.5	 98.5
  D	 77.5	 87.5	 82.5	 75.0	 87.5	 82.0
  E	 80.0	 82.5	 80.0	 85.0	 90.0	 83.5
  F	 95.0	 82.5	 92.5	 92.5	 95.0	 91.5
  G	 67.5	 82.5	 75.0	 70.0	 70.0	 73.0
  H	 95.0	 97.5	 95.0	 97.5	 100.0	 97.0
  I	 85.0	 90.0	 92.5	 85.0	 87.5	 88.0
  J	 95.0	 95.0	 75.0	 90.0	 90.0	 89.0
  K	 87.5	 92.5	 95.0	 92.5	 87.5	 91.0
  L	 95.0	 92.5	 100.0	 100.0	 100.0	 97.5
  M	 90.0	 97.5	 90.0	 82.5	 87.5	 89.5
  N	 90.0	 95.0	 97.5	 90.0	 95.0	 93.5
  O	 90.0	 92.5	 92.5	 87.5	 77.5	 88.0
  P	 97.5	 97.5	 87.5	 92.5	 85.0	 92.0
  Q	 80.0	 77.5	 72.5	 62.5	 75.0	 73.5
  R	 75.0	 90.0	 90.0	 87.5	 92.5	 87.0
  S	 95.0	 92.5	 97.5	 95.0	 97.5	 95.5
  T	 87.5	 92.5	 90.0	 100.0	 97.5	 93.5
  U	 90.0	 100.0	 85.0	 92.5	 92.5	 92.0
  V	 87.5	 92.5	 87.5	 92.5	 92.5	 90.5
  W	 90.0	 80.0	 82.5	 92.5	 92.5	 87.5
  X	 90.0	 87.5	 92.5	 92.5	 95.0	 91.5
  Y	 90.0	 87.5	 87.5	 70.0	 95.0	 86.0
  Z	 95.0	 97.5	 100.0	 97.5	 100.0	 98.0
MEDIA	 88.75	 90.67307692307692	 88.26923076923077	 88.36538461538461	 90.86538461538461	89.385

