Se ha utilizado el Knn con una K de: 9Los resultados obtenidos han sido: 
 Letra 	Test 0:	Test 1:	Test 2	Test 3	Test 4	MEDIA
  A	 100.0	 92.5	 92.5	 95.0	 100.0	 96.0
  B	 70.0	 80.0	 62.5	 82.5	 85.0	 76.0
  C	 100.0	 97.5	 97.5	 100.0	 97.5	 98.5
  D	 75.0	 80.0	 75.0	 75.0	 92.5	 79.5
  E	 80.0	 75.0	 82.5	 87.5	 85.0	 82.0
  F	 92.5	 82.5	 92.5	 95.0	 90.0	 90.5
  G	 65.0	 82.5	 72.5	 60.0	 62.5	 68.5
  H	 95.0	 95.0	 97.5	 97.5	 100.0	 97.0
  I	 87.5	 92.5	 92.5	 90.0	 87.5	 90.0
  J	 92.5	 95.0	 67.5	 90.0	 85.0	 86.0
  K	 87.5	 92.5	 92.5	 97.5	 85.0	 91.0
  L	 95.0	 92.5	 100.0	 100.0	 100.0	 97.5
  M	 85.0	 95.0	 87.5	 75.0	 82.5	 85.0
  N	 87.5	 92.5	 97.5	 90.0	 95.0	 92.5
  O	 90.0	 92.5	 92.5	 85.0	 80.0	 88.0
  P	 92.5	 95.0	 92.5	 92.5	 82.5	 91.0
  Q	 72.5	 75.0	 72.5	 60.0	 77.5	 71.5
  R	 82.5	 87.5	 85.0	 87.5	 82.5	 85.0
  S	 95.0	 90.0	 95.0	 97.5	 97.5	 95.0
  T	 92.5	 92.5	 87.5	 100.0	 97.5	 94.0
  U	 95.0	 100.0	 87.5	 95.0	 95.0	 94.5
  V	 87.5	 95.0	 95.0	 90.0	 90.0	 91.5
  W	 90.0	 77.5	 80.0	 92.5	 90.0	 86.0
  X	 87.5	 90.0	 87.5	 92.5	 95.0	 90.5
  Y	 90.0	 95.0	 85.0	 77.5	 90.0	 87.5
  Z	 97.5	 100.0	 95.0	 97.5	 100.0	 98.0
MEDIA	 87.88461538461539	 89.8076923076923	 87.11538461538461	 88.5576923076923	 89.42307692307692	88.558

